id,link,title,deadline,done,present_soon,grade,presenting_type,programming_language,sprint,comment
A1,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org6ec1409,Procedurell abstraktion,,true,false,3,Lab,C,Sprint1,
A2,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgd101405,Objektorienterad abstraktion,,false,false,3,Lab,Java,Sprint3,
A3,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgb1801a1,Informationsgömning,,false,true,4,Lab,C,Sprint2,
A8,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgfd99011,Gränssnitt mellan moduler,,false,true,4,Lab,C,Sprint2,
B4,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org19417f2,Arv och subtypspolymorfism,,false,false,3,Lab,Java,Sprint3,
B5,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org12c58c2,Liskov’s Substitution Principle,,false,false,4,Lab,Java,Sprint3,
B6,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org288b1bd,Genomskärande åtaganden och arv,,true,false,5,Lab,Java,Sprint3,
C7,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org293b2b8,Planering och uppföljning,,true,false,3,Studium,C,Project,
D9,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org4c1e1fd,Dokumentation,,false,true,3,Lab,C,Sprint2,
E10,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org993e2af,Implementera genericitet genom void-pekare,,true,false,3,Lab,C,Sprint1,
E11,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgf4c46cf,Parametrisk polymorfism och typsäkerhet,,false,true,3,Lab,Java,Sprint3,
E12,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgefde6c7,Designa med parametrisk polymorfism,,false,true,4,Lab,Java,Sprint3,
F13,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org4c3b0c6,Iteration vs. rekursion,,false,false,3,Lab,C,Sprint1,
F14,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org39be067,Svansrekursion,,false,false,4,Lab,C,Sprint1,
G15,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org24bce0b,Aliasering,,false,false,3,Lab,C,Sprint1,
G16,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgfff5d3e,Namn-baserad inkapsling,,false,false,3,Lab,Java,Sprint3,
G17,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgaf9af75,Nästlade och inre klasser,,false,false,5,Lab,Java,Sprint3,
